序号,日期,标题,url,解读评论,媒体名称,分类,调性分,质量分,正负面,导入时间,发布时间,曝光,点击,CTR,位置
712,5.3,中国市场暴跌、印度低迷 国产手机厂商为竞争应打出哪些牌？,http://view.inews.qq.com/a/20180503A0XEHU00,1,第一观点,数码,中,3,中,2018/5/3 16:24,2018/5/3 16:01,--,--,--,"数码频道-精品池,河南地方站-精品池,科技频道-精品池"
713,5.3,尝鲜同股不同权 雷军身价将有多高？,http://view.inews.qq.com/a/20180503V129VL00,,,其他,中,3,中,2018/5/3 17:22,2018/5/3 17:11,--,--,--,"股票频道-精品池,财经频道-精品池,科技频道-精品池"
714,5.3,曾经的王者诺基亚再次贱卖！这次被送走的是数字健康业务！,http://view.inews.qq.com/a/20180503A19DS100,,科学的fan,数码,中,3,中,2018/5/3 18:13,2018/5/3 18:12,--,--,--,科技频道-精品池
715,5.3,苹果关闭系统验证通道：iOS 11.3.1无法再降级,http://view.inews.qq.com/a/20180503V17L6V00,,,其他,中,3,中,2018/5/3 18:12,2018/5/3 18:07,--,--,--,科技频道-精品池
716,5.3,商界大佬没有假期！马云五一带领阿里高管前往以色列学习！,http://view.inews.qq.com/a/20180503A182JK00,,科学的fan,科技,中,3,中,2018/5/3 18:04,2018/5/3 18:02,--,--,--,科技频道-精品池
717,5.3,Google AI首席科学家告诉你，人工智能在三方面做贡献,http://view.inews.qq.com/a/20180503A17HLQ00,,pingwest中文网,科技,中,3,中,2018/5/3 18:03,2018/5/3 17:55,--,--,--,科技频道-精品池
718,5.3,GGV纪源资本完成首支人民币基金募集，总额逾15亿,http://view.inews.qq.com/a/TEC2018050304504700,,腾讯科技,科技,中,3,中,2018/5/3 17:58,2018/5/3 17:58,--,--,--,科技频道-精品池
719,5.3,小米递交招股书赴香港上市 华为手机全球市场份额上升至历史新高,http://view.inews.qq.com/a/20180503V16ASA00,,,其他,中,3,中,2018/5/3 17:56,2018/5/3 17:45,--,--,--,科技频道-精品池
720,5.3,天使投资人刘小鹰：“老韭菜”教你如何看懂区块链,http://view.inews.qq.com/a/20180503A175DP00,,金牛区块链,财经,中,3,中,2018/5/3 17:55,2018/5/3 17:52,--,--,--,科技频道-精品池
721,5.3,手游市场发展迅速，你的钱包被优质游戏“掏空”了吗？,http://view.inews.qq.com/a/20180503A160ZQ00,,爱范儿,游戏,高,3,中,2018/5/3 17:42,2018/5/3 17:41,--,--,--,"数码频道-精品池,科技频道-精品池,Top频道-精品池,南阳地方站-精品池"
722,5.3,Google秘密成立了一家名为Arcade的社交游戏初创公司,http://view.inews.qq.com/a/20180503A1736O00,,动点科技,科技,中,3,中,2018/5/3 17:55,2018/5/3 17:51,--,--,--,科技频道-精品池
723,5.3,断直连关键时期 马云、井贤栋赴央行沟通监管,http://view.inews.qq.com/a/TEC2018050304472400,,经济观察报,科技,高,3,中,2018/5/3 17:44,2018/5/3 17:44,--,--,--,"科技频道-精品池,Top频道-精品池"
724,5.3,分享投资崔欣欣：万亿大居住市场背后隐藏哪些投资红利？,http://view.inews.qq.com/a/20180503A1511200,1,猎云网,财经,中,3,中,2018/5/3 17:50,2018/5/3 17:32,--,--,--,科技频道-精品池
725,5.3,对话孙宇晨：以太坊当年也割韭菜，但是他们赢了,http://view.inews.qq.com/a/20180503A14TYA00,,区块律动,其他,中,3,中,2018/5/3 17:49,2018/5/3 17:31,--,--,--,科技频道-精品池
726,5.3,Telegram撤销原定ICO计划，两轮销售已募集17亿美元,http://view.inews.qq.com/a/20180503A15XIX00,,雷锋网,财经,中,3,中,2018/5/3 17:47,2018/5/3 17:40,--,--,--,科技频道-精品池
727,5.3,小米在印度推出小米音乐和小米视频 用互联网增值服务赚钱,http://view.inews.qq.com/a/TEC2018050304391000,,腾讯科技,科技,高,3,中,2018/5/3 17:19,2018/5/3 17:18,--,--,--,"科技频道-精品池,Top频道-精品池"
728,5.3,英特尔无人机被用来帮助维护中国长城,http://view.inews.qq.com/a/TEC2018050304396400,,腾讯科技,科技,中,3,中,2018/5/3 17:22,2018/5/3 17:20,--,--,--,科技频道-精品池
729,5.3,上市后，雷军将成中国第四富豪，而小米还要过哪些“坎”？,http://view.inews.qq.com/a/20180503A10I2Y00,,郝闻郝看,科技,中,3,中,2018/5/3 17:19,2018/5/3 16:44,--,--,--,科技频道-精品池
730,5.3,苹果iOS买会员更贵怎么办？客服：可用安卓买再用苹果登,http://view.inews.qq.com/a/20180503A1381500,,站长之家网站,数码,中,3,中,2018/5/3 17:19,2018/5/3 17:14,--,--,--,科技频道-精品池
731,5.3,雷布斯千亿美元帝国背后的神秘女人,http://view.inews.qq.com/a/20180503A1096000,,金融街侦探,科技,中,3,中,2018/5/3 17:17,2018/5/3 16:40,--,--,--,科技频道-精品池
732,5.3,IPv6"军令状"已下：移动终端全支持、年底活跃用户破2亿,http://view.inews.qq.com/a/20180503A0SVH900,,通信世界,科技,中,3,中,2018/5/3 17:13,2018/5/3 14:42,--,--,--,科技频道-精品池
733,5.3,这家公司推出区块链技术平台，让每笔虚拟货币消费都可兑换积分,http://view.inews.qq.com/a/20180503A0IKM100,,猎云网,科技,中,3,中,2018/5/3 17:13,2018/5/3 11:22,--,--,--,科技频道-精品池
734,5.3,企业订餐平台 ZeroCater 获 1200 万美元融资,http://view.inews.qq.com/a/20180503A0R57M00,,36氪,科技,中,3,中,2018/5/3 17:11,2018/5/3 14:08,--,--,--,科技频道-精品池
735,5.3,深网｜小米上市加速手机业资本竞赛，下一个IPO企业会是华为？,http://view.inews.qq.com/a/TEC2018050304345500,,腾讯科技,科技,高,4,中,2018/5/3 17:03,2018/5/3 17:02,--,--,--,"科技频道-精品池,Top频道-精品池"
736,5.3,佛系互联网人需要一台20多年前的Mac电脑,http://view.inews.qq.com/a/20180503A124R100,,爱范儿,数码,中,3,中,2018/5/3 17:09,2018/5/3 17:05,--,--,--,"科技频道-精品池,数码频道-精品池"
737,5.3,淘票票、猫眼纷纷推出可查影片退票率版本,http://view.inews.qq.com/a/20180503A0Q2ES00,,站长之家网站,娱乐,中,3,中,2018/5/3 17:08,2018/5/3 13:45,--,--,--,科技频道-精品池
738,5.3,据爆料小米澎湃S2将量产，或将与米7一同发布,http://view.inews.qq.com/a/20180503A11RUT00,,头文深扒互联网,数码,中,3,中,2018/5/3 17:06,2018/5/3 17:00,--,--,--,科技频道-精品池
739,5.3,T-Mobile合并Sprint为5G开道,http://view.inews.qq.com/a/20180503A11Y1900,,钛媒体APP,科技,中,3,中,2018/5/3 17:05,2018/5/3 17:02,--,--,--,科技频道-精品池
740,5.3,外媒称ARM中国合资公司正式运营，“中国芯”能否迎来新生机？,http://view.inews.qq.com/a/20180503A10EID00,,DeepTech深科技,科技,中,3,中,2018/5/3 16:48,2018/5/3 16:42,--,--,--,"科技频道-精品池,科普频道-精品池"
741,5.3,谷歌成立社交游戏公司Arcade，由“天才”Sayman领导,http://view.inews.qq.com/a/20180503A0IDMQ00,,pingwest中文网,科技,中,3,中,2018/5/3 17:01,2018/5/3 11:18,--,--,--,科技频道-精品池
742,5.3,流媒体服务商Hulu美国订阅达2000万，一季度增长超奈飞,http://view.inews.qq.com/a/20180503A11DL100,,pingwest中文网,科技,高,3,中,2018/5/3 16:59,2018/5/3 16:56,--,--,--,"科技频道-精品池,Top频道-精品池"
743,5.3,韩国当局正式承认三星由"太子"李在镕掌舵,http://view.inews.qq.com/a/20180503A0V3J200,,中国经济网,时政,高,3,中,2018/5/3 15:24,2018/5/3 15:21,--,--,--,"广东地方站-精品池,科技频道-精品池,Top频道-精品池"
744,5.3,一线丨小米招股书披露：未来可将小米金融完全拆分,http://view.inews.qq.com/a/TEC2018050304296200,,腾讯《一线》,科技,高,3,中,2018/5/3 16:51,2018/5/3 16:49,--,--,--,"科技频道-精品池,Top频道-精品池"
745,5.3,同样是投资3亿，为何京东对雷鸟、乐视的态度迥异？,http://view.inews.qq.com/a/20180503A0BRJ000,1,龚进辉,科技,中,3,中,2018/5/3 16:57,2018/5/3 9:36,--,--,--,科技频道-精品池
746,5.3,对标亚马逊Alexa基金？谷歌助手投资项目来了,http://view.inews.qq.com/a/20180503A10MF700,,36氪,科技,中,3,中,2018/5/3 16:57,2018/5/3 16:46,--,--,--,科技频道-精品池
747,5.3,拓展柔性机器手爪应用场景，这家公司获2000万美元融资,http://view.inews.qq.com/a/20180503A115NE00,,36氪,科技,中,3,中,2018/5/3 16:57,2018/5/3 16:53,--,--,--,科技频道-精品池
748,5.3,谷歌Chrome现恶意插件 竟可盗取用户加密货币,http://view.inews.qq.com/a/20180503A10VJ200,,站长之家网站,科技,中,3,中,2018/5/3 16:54,2018/5/3 16:49,--,--,--,科技频道-精品池
749,5.3,官宣了！锤子科技2018鸟巢新品发布会将于5月15日举行,http://view.inews.qq.com/a/20180503A10ZU700,,站长之家网站,数码,中,3,中,2018/5/3 16:53,2018/5/3 16:51,--,--,--,科技频道-精品池
750,5.3,小米提交上市申请，雷军冲中国首富,http://view.inews.qq.com/a/20180503V0I3TE00,,,其他,中,4,中,2018/5/3 11:27,2018/5/3 11:21,--,--,--,"科技频道-精品池,广东地方站-精品池,广州地方站-精品池,武汉地方站-精品池,黄石地方站-精品池,孝感地方站-精品池"
751,5.3,深陷丑闻泥潭难脱身，剑桥分析公司或将破产倒闭,http://view.inews.qq.com/a/20180503A0TW7600,,猎云网,科技,高,3,中,2018/5/3 16:49,2018/5/3 15:02,--,--,--,"科技频道-精品池,Top频道-精品池"
752,5.3,美国军方和硅谷赛跑：准备率先部署自动驾驶技术,http://view.inews.qq.com/a/TEC2018050304275100,,腾讯科技,科技,高,3,中,2018/5/3 16:45,2018/5/3 16:43,--,--,--,"科技频道-精品池,Top频道-精品池"
753,5.3,可充满63部苹果的移动电源，EcoFlow获400万美元融资,http://view.inews.qq.com/a/20180503A0GG6000,,36氪,科技,中,3,中,2018/5/3 16:50,2018/5/3 10:49,--,--,--,科技频道-精品池
754,5.3,线下店、会员制、工厂品牌……电商这个词快被淘汰了,http://view.inews.qq.com/a/20180503A0HS4200,,吴怼怼,科技,中,3,中,2018/5/3 16:49,2018/5/3 11:09,--,--,--,科技频道-精品池
755,5.3,漫漫转型梦:今天宣布IPO的小米，互联网营收占比其实不到一成,http://view.inews.qq.com/a/20180503A0PUMG00,1,DeepTech深科技,科技,中,3,中,2018/5/3 16:49,2018/5/3 13:40,--,--,--,科技频道-精品池
756,5.3,F8大会揭示了一个令人不安的事实：世界已离不开FB！,http://view.inews.qq.com/a/TEC2018050304017600,,BI中文站,科技,高,3,中,2018/5/3 16:32,2018/5/3 15:33,--,--,--,"科技频道-精品池,Top频道-精品池"
757,5.3,华尔街第一家！高盛将启动比特币交易业务,http://view.inews.qq.com/a/20180503A0VI4J00,,猎云网,财经,高,3,中,2018/5/3 16:34,2018/5/3 15:28,--,--,--,"科技频道-精品池,Top频道-精品池"
758,5.3,小米估值或超1000亿美元，将彻底冲破BAT格局,http://view.inews.qq.com/a/20180503A0W0Y700,,钛媒体APP,科技,高,3,中,2018/5/3 15:43,2018/5/3 15:37,--,--,--,"股票频道-精品池,科技频道-精品池,Top频道-精品池"
759,5.3,招股书里的小米金融：将完全分拆，金融集团浮出水面,http://view.inews.qq.com/a/20180503A0WC3S00,,全天候科技,科技,高,3,中,2018/5/3 16:31,2018/5/3 15:43,--,--,--,"科技频道-精品池,Top频道-精品池"
760,5.3,索赔金额达20亿美元！Nikola指控特斯拉剽窃卡车设计专利,http://view.inews.qq.com/a/20180503A0UMGX00,,猎云网,科技,中,3,中,2018/5/3 16:40,2018/5/3 15:12,--,--,--,科技频道-精品池
761,5.3,小米2017年收入超千亿，雷军为何却要急着上市？,http://view.inews.qq.com/a/20180503A0QBHV00,1,创业邦,科技,中,3,中,2018/5/3 16:40,2018/5/3 13:51,--,--,--,科技频道-精品池
762,5.3,FB宣布推出“相亲”服务 扎克伯格：要的是认真的关系不是勾搭,http://view.inews.qq.com/a/20180503V0LPCP00,,,其他,中,3,中,2018/5/3 16:39,2018/5/3 12:09,--,--,--,科技频道-精品池
763,5.3,2018年Q1全球智能机出货量排行：这三家霸榜,http://view.inews.qq.com/a/20180503A0S7ZQ00,,TechWeb,数码,中,3,中,2018/5/3 14:37,2018/5/3 14:30,--,--,--,"股票频道-精品池,科技频道-精品池"
764,5.3,没钱、没人、没技术？5个步骤教初创企业快速拿到天使投资,http://view.inews.qq.com/a/20180503A0V03P00,1,猎云网,科技,中,3,中,2018/5/3 16:37,2018/5/3 15:19,--,--,--,科技频道-精品池
765,5.3,图解：小米IPO启动 招股书里的秘密都在这里了,http://view.inews.qq.com/a/20180503A0VBJK00,,界面,科技,高,3,中,2018/5/3 15:26,2018/5/3 15:25,--,--,--,"股票频道-精品池,Top频道-精品池,财经频道-精品池,科技频道-精品池"
766,5.3,紫光将转型为集成电路投资平台，刁石京全面接手芯片业务,http://view.inews.qq.com/a/20180503A0ZRH500,,DeepTech深科技,科技,中,3,中,2018/5/3 16:36,2018/5/3 16:34,--,--,--,科技频道-精品池
767,5.3,聚焦“安全、清洁和智能”，汽车供应商大陆的科技之路是怎样的？,http://view.inews.qq.com/a/20180503A0O99X00,,雷锋网,科技,中,3,中,2018/5/3 16:34,2018/5/3 13:00,--,--,--,科技频道-精品池
768,5.3,特朗普下手，互联网时代走入终结,http://view.inews.qq.com/a/20180503A0VIE300,,科技新知,科技,中,3,中,2018/5/3 16:34,2018/5/3 15:28,--,--,--,科技频道-精品池
769,5.3,35岁以下科技创新35人之宿华：每天帮助1亿中国人记录生活,http://view.inews.qq.com/a/20180503A0Z82I00,,DeepTech深科技,科技,中,3,中,2018/5/3 16:33,2018/5/3 16:27,--,--,--,科技频道-精品池
770,5.3,为何总强调硬件净利润不超5%？小米招股书中有“雷”,http://view.inews.qq.com/a/20180503A0U1NW00,1,磐石之心,科技,高,3,中,2018/5/3 16:13,2018/5/3 15:04,--,--,--,"数码频道-精品池,科技频道-精品池"
771,5.3,帮研发人员筛选实验材料，BenchSci获投A轮800万美元,http://view.inews.qq.com/a/20180503A0WQUK00,,36氪,科技,中,3,中,2018/5/3 16:31,2018/5/3 15:49,--,--,--,科技频道-精品池
772,5.3,腾讯安全携手深圳金融办打造金融安全大数据平台 准确率超95%,http://view.inews.qq.com/a/TEC2018050304186300,,腾讯科技,科技,高,3,中,2018/5/3 16:21,2018/5/3 16:19,--,--,--,"科技频道-精品池,Top频道-精品池"
773,5.3,中美线下零售都有“扩张者”，两者却大相径庭,http://view.inews.qq.com/a/20180503A0B2LX00,,深几度,科技,中,3,中,2018/5/3 16:27,2018/5/3 9:25,--,--,--,科技频道-精品池
774,5.3,ARM在其处理器中设计了防篡改和软件隔离功能,http://view.inews.qq.com/a/20180503A0WTRV00,,威客安全,科技,中,3,中,2018/5/3 16:26,2018/5/3 15:51,--,--,--,科技频道-精品池
775,5.3,做到这些，公司会把你当“资产”而不是员工,http://view.inews.qq.com/a/20180503A0WWIJ00,1,36氪,职场,中,3,中,2018/5/3 16:26,2018/5/3 15:52,--,--,--,科技频道-精品池
776,5.3,雷军向5500名员工发500亿股票，你后悔当初没加入小米吗？,http://view.inews.qq.com/a/20180503A0WYR200,,科技新知,科技,中,3,中,2018/5/3 16:26,2018/5/3 15:53,--,--,--,科技频道-精品池
777,5.3,谷歌旗下基金参投，BenchSci获800万美元A轮融资,http://view.inews.qq.com/a/20180503A0AVML00,,猎云网,科技,中,3,中,2018/5/3 16:26,2018/5/3 9:21,--,--,--,科技频道-精品池
778,5.3,告别迅雷的程浩正式亮出远望资本，聚焦技术创新类项目,http://view.inews.qq.com/a/20180503A0WCKH00,,猎云网,科技,中,3,中,2018/5/3 16:25,2018/5/3 15:43,--,--,--,科技频道-精品池
779,5.3,马斯克抛出年底盈利和中国建厂来平息质疑，但留给他的时间不多了,http://view.inews.qq.com/a/20180503A0XG8A00,,多少说,科技,中,3,中,2018/5/3 16:25,2018/5/3 16:02,148203,3802,2.57%,科技频道-精品池
780,5.3,阿里副总裁林小海：改造夫妻店，“零售通”未来盈利来源是营销,http://view.inews.qq.com/a/20180503A0AHM300,,36氪,科技,中,3,中,2018/5/3 16:24,2018/5/3 9:14,--,--,--,科技频道-精品池
781,5.3,如何撑过未达刚需的早期机器人市场？优必选表示打算先做生态,http://view.inews.qq.com/a/20180503A0AB7I00,,36氪,科技,中,3,中,2018/5/3 16:22,2018/5/3 9:11,--,--,--,科技频道-精品池
782,5.3,上季度大中华区iPhone销售额是日本的2.4倍？,http://view.inews.qq.com/a/20180502A0ZSYU00,,数码巴哥菌,科技,中,3,中,2018/5/3 7:42,2018/5/3 6:50,--,--,--,"数码频道-精品池,科技频道-精品池"
783,5.3,三星OLED取得重大突破 透明面板诞生 可惜S10竟无缘？,http://view.inews.qq.com/a/20180503A0XHIK00,,雷科技,数码,中,3,中,2018/5/3 16:11,2018/5/3 16:02,--,--,--,"数码频道-精品池,科技频道-精品池"
784,5.3,坚果云：与巨头竞争中活到最后的小玩家,http://view.inews.qq.com/a/20180503A0Y65L00,,爱范儿,科技,中,3,中,2018/5/3 16:15,2018/5/3 16:11,--,--,--,"数码频道-精品池,科技频道-精品池"
785,5.3,世界首款“全息手机”延期至8月上市 它到底有什么了不起？,http://view.inews.qq.com/a/20180503A043OH00,,数码巴哥菌,数码,中,3,中,2018/5/3 7:43,2018/5/3 6:50,--,--,--,"数码频道-精品池,科技频道-精品池"
786,5.3,ARM在中国成立合资公司，中方投资者占股51%、想在A股上市,http://view.inews.qq.com/a/20180503A0Y8CI00,,投资界,财经,中,3,中,2018/5/3 16:21,2018/5/3 16:12,--,--,--,科技频道-精品池
787,5.3,"2分钟了解脸书开发者大会第二天内容,AI和VR技术成脸书重点",http://view.inews.qq.com/a/20180503V0PHFT00,,,其他,中,3,中,2018/5/3 16:11,2018/5/3 13:34,--,--,--,"科技频道-精品池,Top视频-精品池"
788,5.3,蔚来对标特斯拉靠不靠谱？李斌这样回应,http://view.inews.qq.com/a/TEC2018050304187300,,,,高,3,中,2018/5/3 16:19,2018/5/3 16:19,--,--,--,"科技频道-精品池,Top频道-精品池"
789,5.3,扒一扒小米赴港上市招股书中隐藏的信息,http://view.inews.qq.com/a/20180503A0WSID00,1,雷锋网,科技,中,3,中,2018/5/3 16:15,2018/5/3 15:50,--,--,--,科技频道-精品池
790,5.3,小米自称是互联网公司，但营收占比仅有8.6%又打脸,http://view.inews.qq.com/a/20180503A0VCGY00,1,智观察,科技,中,3,中,2018/5/3 16:15,2018/5/3 15:25,--,--,--,科技频道-精品池
791,5.3,我国造“填海利器”，美日大量求购，中国：给多少钱都不卖！,http://view.inews.qq.com/a/20180502V1MMIG00,,,其他,中,3,中,2018/5/3 16:13,2018/5/2 21:15,--,--,--,科技频道-精品池
792,5.3,我国成功研发新型武器问世，打破世界纪录，火力超强！,http://view.inews.qq.com/a/20180502V1MMG100,,,其他,中,3,中,2018/5/3 16:13,2018/5/2 21:15,--,--,--,科技频道-精品池
793,5.3,iPhone SE2渲染图曝光，小屏“齐刘海”，最快5月发布,http://view.inews.qq.com/a/20180503V0XHAE00,,,其他,中,3,中,2018/5/3 16:13,2018/5/3 16:02,--,--,--,科技频道-精品池
794,5.3,特斯拉品控差？Model 3质量堪比宝马,http://view.inews.qq.com/a/20180502V1B56X00,,,其他,中,3,中,2018/5/3 16:13,2018/5/2 18:57,--,--,--,科技频道-精品池
795,5.3,我国发明新技术，速度是传统3D打印机100倍，能建高楼大厦,http://view.inews.qq.com/a/20180502V1OZOM00,,,其他,中,3,中,2018/5/3 16:12,2018/5/2 21:54,--,--,--,科技频道-精品池
796,5.3,"贝索斯:工作和生活无需平衡,没意义",http://view.inews.qq.com/a/20180503V0B54U00,,,其他,中,3,中,2018/5/3 14:44,2018/5/3 9:29,--,--,--,科技频道-精品池
797,5.3,"李开复:BAT猛挖,AI人才缺口无底洞",http://view.inews.qq.com/a/20180503V0B8CI00,,,其他,中,3,中,2018/5/3 16:12,2018/5/3 9:33,--,--,--,科技频道-精品池
798,5.3,有生之年系列 Intel和AMD联合做芯片,http://view.inews.qq.com/a/20180503A0WHYD00,,爱范儿,数码,中,3,中,2018/5/3 16:11,2018/5/3 15:45,--,--,--,"科技频道-精品池,数码频道-精品池"
799,5.3,小米盈利122亿还是亏损439亿，招股书上都说了什么？,http://view.inews.qq.com/a/20180503A0KUUT00,1,万能的大熊,科技,中,3,中,2018/5/3 15:44,2018/5/3 11:56,--,--,--,科技频道-精品池
800,5.3,雷军来信，小米是一家没有先例的公司,http://view.inews.qq.com/a/20180503A0VW4V00,,36氪,科技,中,3,中,2018/5/3 15:38,2018/5/3 15:35,--,--,--,"科技频道-精品池,股票频道-精品池"
801,5.3,港股新规第一股将诞生，如何理解小米招股书上的“巨额负债”？,http://view.inews.qq.com/a/20180503A0NRP700,1,钛媒体APP,科技,高,3,中,2018/5/3 12:54,2018/5/3 12:46,--,--,--,"股票频道-精品池,Top频道-精品池,财经频道-精品池,科技频道-精品池"
802,5.3,特斯拉的“至暗时刻”似乎仍没有结束的迹象,http://view.inews.qq.com/a/20180503A0UN0D00,,界面,科技,中,3,中,2018/5/3 15:17,2018/5/3 15:13,--,--,--,"科技频道-精品池,股票频道-精品池,淮安地方站-精品池,财经频道-精品池"
803,5.3,极客公园：雷军谈小米手机,http://view.inews.qq.com/a/20180503V0RGZC00,,,其他,中,3,中,2018/5/3 14:38,2018/5/3 14:35,--,--,--,"科技频道-精品池,Top频道-精品池,数码频道-精品池"
804,5.3,后来的内容什么形式都有了，却没了“内容”？,http://view.inews.qq.com/a/20180503A0DEON00,1,歪道道,科技,中,3,中,2018/5/3 15:31,2018/5/3 10:02,--,--,--,科技频道-精品池
805,5.3,百年伦敦出租车行业翻新篇：新能源出租车大规模普及,http://view.inews.qq.com/a/TEC2018050303874800,,腾讯科技,汽车,高,3,中,2018/5/3 14:52,2018/5/3 14:52,--,--,--,"科技频道-精品池,Top频道-精品池"
806,5.3,Model 3生产目标再落空 但不妨碍马斯克制定更激进目标,http://view.inews.qq.com/a/TEC2018050303868700,,Mashable中文站,科技,高,3,中,2018/5/3 14:52,2018/5/3 14:49,--,--,--,"科技频道-精品池,Top频道-精品池"
807,5.3,亚马逊效应：网络购物发展影响实体经济加速房地产业衰败,http://view.inews.qq.com/a/TEC2018050303883300,1,腾讯科技,科技,高,3,中,2018/5/3 15:03,2018/5/3 14:53,--,--,--,"科技频道-精品池,Top频道-精品池"
808,5.3,小米上市9人成10亿美元富豪，雷军铁人三项能否撑起千亿市值？,http://view.inews.qq.com/a/20180503A0RF4V00,,AI财经社,科技,高,4,中,2018/5/3 15:10,2018/5/3 15:08,--,--,--,"科技频道-精品池,股票频道-精品池,广东地方站-精品池,理财频道-精品池,Top频道-精品池"
809,5.3,G+失败谷歌对社交业务不死心 成立社交游戏公司Arcade,http://view.inews.qq.com/a/TEC2018050303150900,,腾讯科技,科技,高,3,中,2018/5/3 15:13,2018/5/3 10:53,--,--,--,"科技频道-精品池,Top频道-精品池"
810,5.3,朋友圈大升级 滴滴凭何结盟半个汽车圈？,http://view.inews.qq.com/a/20180503A0C6AD00,1,车东西,科技,中,3,中,2018/5/3 10:02,2018/5/3 9:42,--,--,--,"汽车频道-精品池,科技频道-精品池"
811,5.3,以正装切入服装租赁领域，衣当先获数百万元种子轮融资,http://view.inews.qq.com/a/20180503A0A4CC00,,36氪,科技,中,3,中,2018/5/3 15:14,2018/5/3 9:09,--,--,--,科技频道-精品池
812,5.3,神奇公司找到了，它今年要在十个城市的商场办集市,http://view.inews.qq.com/a/20180503A0AHAT00,,36氪,科技,中,3,中,2018/5/3 15:14,2018/5/3 9:14,--,--,--,科技频道-精品池
813,5.3,发展产业互联网，中国联通要做一篇“数智”好文章,http://view.inews.qq.com/a/20180503A0SVEE00,,通信世界,科技,中,3,中,2018/5/3 15:12,2018/5/3 14:42,--,--,--,科技频道-精品池
814,5.3,深耕能源综合管理，亿可能源切入电力交易行业,http://view.inews.qq.com/a/20180503A0EOCY00,,36氪,科技,中,3,中,2018/5/3 15:11,2018/5/3 10:20,--,--,--,科技频道-精品池
815,5.3,迅雷区块链3.0，实现“弯道超车”美国的可能性？,http://view.inews.qq.com/a/20180503A0F4UT00,,pingwest中文网,科技,中,3,中,2018/5/3 15:10,2018/5/3 10:27,--,--,--,科技频道-精品池
816,5.3,无人智能货柜品牌哈哈零兽获数千万A轮融资，易津资本领投,http://view.inews.qq.com/a/20180503A0F9Z200,,猎云网,科技,中,3,中,2018/5/3 15:10,2018/5/3 10:30,--,--,--,科技频道-精品池
817,5.3,智能手机到底需不需要升级系统？,http://view.inews.qq.com/a/20180503A0HKDJ00,1,多少说,数码,中,3,中,2018/5/3 15:08,2018/5/3 11:07,--,--,--,科技频道-精品池
818,5.3,马斯克说特斯拉年底盈利，中国建厂，甚至想骂分析师脑子有病,http://view.inews.qq.com/a/20180503A0KU5Z00,,虎嗅APP,科技,中,3,中,2018/5/3 15:07,2018/5/3 11:55,137351,2212,1.61%,科技频道-精品池
819,5.3,机器学习者必知的5种深度学习框架,http://view.inews.qq.com/a/20180503A0KUOI00,,雷锋网,科技,中,3,中,2018/5/3 15:06,2018/5/3 11:55,--,--,--,科技频道-精品池
820,5.3,海尔推出全球首款家用洗鞋机：高压水流立体喷淋,http://view.inews.qq.com/a/20180503A0TKR100,,驱动之家,家居,中,3,中,2018/5/3 15:03,2018/5/3 14:56,--,--,--,"科技频道-精品池,数码频道-精品池"
821,5.3,CMU教授Metin Sitti：产学双栖的仿生机器人专家,http://view.inews.qq.com/a/20180503A0NR5X00,,雷锋网,科学,中,3,中,2018/5/3 15:04,2018/5/3 12:45,--,--,--,科技频道-精品池
822,5.3,百花缭乱：虚拟主播之春,http://view.inews.qq.com/a/20180502A0T36R00,,触乐,动漫,中,3,中,2018/5/3 11:17,2018/5/2 15:07,--,--,--,"游戏频道-精品池,科技频道-精品池"
823,5.3,财报图解｜特斯拉第一季营收增速放缓明显 净亏损创新高,http://view.inews.qq.com/a/TEC2018050302878600,,腾讯科技,科技,高,3,中,2018/5/3 14:46,2018/5/3 10:12,--,--,--,"科技频道-精品池,Top频道-精品池"
824,5.3,小米IPO前两位创始人离职，雷军杯酒释兵权还是挥泪斩马谡？,http://view.inews.qq.com/a/20180503A0SSZC00,,AI财经社,科技,高,3,中,2018/5/3 14:47,2018/5/3 14:41,--,--,--,"股票频道-精品池,科技频道-精品池,财经频道-精品池,Top频道-精品池"
825,5.3,贝索斯：我不会为失败后悔 没有尝试才会留下遗憾,http://view.inews.qq.com/a/TEC2018050303115200,,腾讯科技,职场,高,3,中,2018/5/3 14:48,2018/5/3 10:47,--,--,--,"科技频道-精品池,Top频道-精品池"
826,5.3,你的新闻App被推荐算法毁了，复兴RSS就能带来信息绿洲吗？,http://view.inews.qq.com/a/20180503A08Y2U00,1,全媒派,科技,中,3,中,2018/5/3 14:54,2018/5/3 8:47,--,--,--,科技频道-精品池
827,5.3,不是出于本心的创业，会痛苦一辈子,http://view.inews.qq.com/a/20180503A08KX700,,腾讯创业,科技,中,3,中,2018/5/3 14:51,2018/5/3 8:37,--,--,--,科技频道-精品池
828,5.3,从格力到阿胶白马股又跌停 这一次“外来的和尚”还管用吗？,http://view.inews.qq.com/a/20180503A0ABTJ00,,阿尔法工场,财经,中,3,中,2018/5/3 9:16,2018/5/3 9:12,--,--,--,"财经频道-精品池,股票频道-精品池,科技频道-精品池"
829,5.3,菜鸟一月连开两条洲际航线，欧洲包裹最快可5日送达,http://view.inews.qq.com/a/20180503A0AHGB00,,36氪,科技,中,3,中,2018/5/3 14:51,2018/5/3 9:14,--,--,--,科技频道-精品池
